"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Feb 12 21:19:24 GMT 2023","Sun Feb 12 21:19:24 GMT 2023","3","webkit","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 21:19:24 GMT 2023","Sun Feb 12 21:19:24 GMT 2023","0","webkit","example.spec.ts","chromium only","","","get started link",""
"passed","Sun Feb 12 21:19:19 GMT 2023","Sun Feb 12 21:19:20 GMT 2023","813","chromium","example.spec.ts","chromium only","","","has title @title",""
"failed","Sun Feb 12 21:19:22 GMT 2023","Sun Feb 12 21:19:23 GMT 2023","786","chromium","example.spec.ts","chromium only","","","get started link",""
"skipped","Sun Feb 12 21:19:23 GMT 2023","Sun Feb 12 21:19:23 GMT 2023","3","firefox","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 21:19:23 GMT 2023","Sun Feb 12 21:19:23 GMT 2023","0","firefox","example.spec.ts","chromium only","","","get started link",""
