"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Feb 12 21:14:03 GMT 2023","Sun Feb 12 21:14:03 GMT 2023","4","firefox","example.spec.ts","chromium only","","","has title @title",""
"passed","Sun Feb 12 21:13:59 GMT 2023","Sun Feb 12 21:14:00 GMT 2023","894","chromium","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 21:14:03 GMT 2023","Sun Feb 12 21:14:03 GMT 2023","1","firefox","example.spec.ts","chromium only","","","get started link",""
"skipped","Sun Feb 12 21:14:04 GMT 2023","Sun Feb 12 21:14:04 GMT 2023","0","webkit","example.spec.ts","chromium only","","","get started link",""
"failed","Sun Feb 12 21:14:02 GMT 2023","Sun Feb 12 21:14:03 GMT 2023","846","chromium","example.spec.ts","chromium only","","","get started link",""
"skipped","Sun Feb 12 21:14:04 GMT 2023","Sun Feb 12 21:14:04 GMT 2023","5","webkit","example.spec.ts","chromium only","","","has title @title",""
