"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Feb 12 20:47:05 GMT 2023","Sun Feb 12 20:47:05 GMT 2023","4","firefox","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 20:47:05 GMT 2023","Sun Feb 12 20:47:05 GMT 2023","4","webkit","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 20:47:05 GMT 2023","Sun Feb 12 20:47:05 GMT 2023","1","firefox","example.spec.ts","chromium only","","","get started link",""
"passed","Sun Feb 12 20:47:00 GMT 2023","Sun Feb 12 20:47:01 GMT 2023","1209","chromium","example.spec.ts","chromium only","","","has title @title",""
"failed","Sun Feb 12 20:47:03 GMT 2023","Sun Feb 12 20:47:04 GMT 2023","727","chromium","example.spec.ts","chromium only","","","get started link",""
"skipped","Sun Feb 12 20:47:05 GMT 2023","Sun Feb 12 20:47:05 GMT 2023","0","webkit","example.spec.ts","chromium only","","","get started link",""
