"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Feb 12 20:12:04 GMT 2023","Sun Feb 12 20:12:04 GMT 2023","3","webkit","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 20:12:04 GMT 2023","Sun Feb 12 20:12:04 GMT 2023","1","webkit","example.spec.ts","chromium only","","","get started link",""
"failed","Sun Feb 12 20:12:03 GMT 2023","Sun Feb 12 20:12:03 GMT 2023","708","chromium","example.spec.ts","chromium only","","","get started link",""
"skipped","Sun Feb 12 20:12:04 GMT 2023","Sun Feb 12 20:12:04 GMT 2023","4","firefox","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 20:12:04 GMT 2023","Sun Feb 12 20:12:04 GMT 2023","1","firefox","example.spec.ts","chromium only","","","get started link",""
"passed","Sun Feb 12 20:11:59 GMT 2023","Sun Feb 12 20:12:00 GMT 2023","907","chromium","example.spec.ts","chromium only","","","has title @title",""
