"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Feb 12 11:17:20 GMT 2023","Sun Feb 12 11:17:20 GMT 2023","6","firefox","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 11:17:20 GMT 2023","Sun Feb 12 11:17:20 GMT 2023","1","firefox","example.spec.ts","chromium only","","","get started link",""
"skipped","Sun Feb 12 11:17:20 GMT 2023","Sun Feb 12 11:17:20 GMT 2023","4","webkit","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 11:17:20 GMT 2023","Sun Feb 12 11:17:20 GMT 2023","0","webkit","example.spec.ts","chromium only","","","get started link",""
"failed","Sun Feb 12 11:17:18 GMT 2023","Sun Feb 12 11:17:19 GMT 2023","1315","chromium","example.spec.ts","chromium only","","","get started link",""
"passed","Sun Feb 12 11:17:12 GMT 2023","Sun Feb 12 11:17:13 GMT 2023","1381","chromium","example.spec.ts","chromium only","","","has title @title",""
