"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Feb 12 20:26:39 GMT 2023","Sun Feb 12 20:26:39 GMT 2023","0","webkit","example.spec.ts","chromium only","","","get started link",""
"failed","Sun Feb 12 20:26:37 GMT 2023","Sun Feb 12 20:26:38 GMT 2023","722","chromium","example.spec.ts","chromium only","","","get started link",""
"skipped","Sun Feb 12 20:26:39 GMT 2023","Sun Feb 12 20:26:39 GMT 2023","0","firefox","example.spec.ts","chromium only","","","get started link",""
"passed","Sun Feb 12 20:26:34 GMT 2023","Sun Feb 12 20:26:35 GMT 2023","749","chromium","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 20:26:39 GMT 2023","Sun Feb 12 20:26:39 GMT 2023","3","firefox","example.spec.ts","chromium only","","","has title @title",""
"skipped","Sun Feb 12 20:26:39 GMT 2023","Sun Feb 12 20:26:39 GMT 2023","3","webkit","example.spec.ts","chromium only","","","has title @title",""
